Station Name,City,State,Latitude,Longitude,Operator,Usage Type,Connector Type,Power (kW)
Tata.ev Luxon Motors - Tata Power,Edappally ,Kerala,10.01148474,76.3113875,Tata Power,Public - Membership Required,CCS (Type 2),60
TML Sree Gokulam Motors - Tata Power,Edappally,Kerala,10.03915497,76.31555881,Tata Power,Public - Membership Required,CCS (Type 2),30
Tata.ev Gokulam Motors - Tata Power,Choornikkara,Kerala,10.08130279,76.33946199,Tata Power,Public - Membership Required,CCS (Type 2),60
Taj Cochin Internation Airport Hotel - Tata Power,Nedumbassery ,Kerala,10.15999504,76.39015422,Tata Power,Public - Membership Required,CCS (Type 2),30
SAJ Earth Resort - Tata Power,Nedumbassery,Kerala,10.16222425,76.3846535,Tata Power,Public - Membership Required,CCS (Type 2),30
Luxon Motors - Tata Power,Kariyad,Kerala,10.16204205,76.36735603,Tata Power,Public - Membership Required,CCS (Type 2),30
Sree Gokulam Motors - Tata Power,Angamaly,Kerala,10.22106036,76.37675213,Tata Power,Public - Membership Required,CCS (Type 2),30
Centro Mall Charging Station - Tata Power,Kodungallur,Kerala,10.23248948,76.19594022,Tata Power,Public - Membership Required,CCS (Type 2),30
IOCL Thiruvonam Fuels - Tata Power,Palakkad,Kerala,10.76983098,76.6680965,Tata Power,Public - Membership Required,CCS (Type 2),30
IOCL Thiruvonam Fuels - Tata Power,Palakkad,Kerala,10.76983098,76.6680965,Tata Power,Public - Membership Required,CHAdeMO,30
KVR Automotive - Tata Power,Koppam,Kerala,10.7822582,76.65824511,Tata Power,Public - Membership Required,CCS (Type 2),30
Gokulam Residency - Tata Power,Amballur,Kerala,10.4361871,76.26520583,Tata Power,Public - Membership Required,CCS (Type 2),25
Tata.ev Hyson Motors - Tata Power,Thrissur,Kerala,10.49672847,76.25836131,Tata Power,Public - Membership Required,CCS (Type 2),60
PCK Centenary,Thrissur,Kerala,10.52294042,76.20624767,Tata Power,Public - Membership Required,CCS (Type 2),30
TML Hyson Motors - Tata Power,Thrissur,Kerala,10.54042299,76.18967782,Tata Power,Public - Membership Required,CCS (Type 2),25
TML Hyson Motors - Tata Power,Thrissur,Kerala,10.54042299,76.18967782,Tata Power,Public - Membership Required,CCS (Type 2),25
